Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,UPR,Y07,Y08,Y09,Y10,Y11,Y12,USE,Total Students
4211,ALKIMOS COLLEGE,101 SANTORINI PROMENADE,ALKIMOS,WA,6038,101 SANTORINI PROMENADE,ALKIMOS,WA,6038,-31.629987,115.694233,08 9561 7300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y10,,,,,,,,,,219,204,180,185,,,,788
5844,ALKIMOS PRIMARY SCHOOL,340 BENENDEN AVENUE,ALKIMOS,WA,6038,340 BENENDEN AVENUE,ALKIMOS,WA,6038,-31.62699105,115.7026573,08 9562 9800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,84,70,94,92,82,72,76,75,,,,,,,,,645
1277,ALL SAINTS' COLLEGE,28 EWING AVENUE,BULL CREEK,WA,6149,28 EWING AVENUE,BULL CREEK,WA,6149,-32.04946998,115.867023,08 9313 9333,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,94,47,50,48,53,53,84,80,,141,144,139,162,186,134,,"1,415"
5006,ALLANSON PRIMARY SCHOOL,CAMERON STREET,ALLANSON,WA,6225,CAMERON STREET,ALLANSON,WA,6225,-33.33580893,116.099005,08 9735 2800,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,18,11,10,6,14,8,11,20,,,,,,,,,98
5007,ALLENDALE PRIMARY SCHOOL,52 WITTENOOM STREET,GERALDTON,WA,6530,52 WITTENOOM STREET,GERALDTON,WA,6530,-28.76430303,114.6237354,08 9923 6600,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,28,40,37,47,52,56,43,47,,,,,,,,,350
1478,ALTA-1 COLLEGE,12 WINTON ROAD,JOONDALUP,WA,6027,12 WINTON ROAD,JOONDALUP,WA,6027,-31.78537164,115.8133126,08 9403 8200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,4,48,102,154,577,32,,917
1545,ALTA-1 KIMBERLEY COLLEGE,LOT 579 PACKSADDLE ROAD,KUNUNURRA,WA,6743,LOT 579 PACKSADDLE ROAD,KUNUNURRA,WA,6743,-15.795972,128.688089,08 9403 8200,KIMBERLEY,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y11,,,,,,,,,,1,6,8,5,7,,,27
5008,AMAROO PRIMARY SCHOOL,79 JONES STREET,COLLIE,WA,6225,79 JONES STREET,COLLIE,WA,6225,-33.35205078,116.149663,08 9735 9400,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,48,34,42,46,37,35,39,45,,,,,,,,,326
5841,ANNE HAMERSLEY PRIMARY SCHOOL,16 DUNNETT DRIVE,ELLENBROOK,WA,6069,16 DUNNETT DRIVE,ELLENBROOK,WA,6069,-31.74539641,116.0087173,08 9297 7000,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,80,83,98,84,107,54,84,72,,,,,,,,,662
5509,ANZAC TERRACE PRIMARY SCHOOL,176 ANZAC TERRACE,BASSENDEAN,WA,6054,176 ANZAC TERRACE,BASSENDEAN,WA,6054,-31.89719261,115.9372531,08 9352 2600,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,42,46,43,45,43,45,53,52,,,,,,,,,369
5010,APPLECROSS PRIMARY SCHOOL,65 KINTAIL ROAD,APPLECROSS,WA,6153,65 KINTAIL ROAD,APPLECROSS,WA,6153,-32.01084327,115.8395984,08 6274 1850,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,58,51,69,66,86,82,83,77,,,,,,,,,572
4002,APPLECROSS SENIOR HIGH SCHOOL,LINKS ROAD,ARDROSS,WA,6153,LINKS ROAD,ARDROSS,WA,6153,-32.029376,115.83509,08 9314 9393,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,316,326,307,301,337,272,,"1,859"
1107,AQUINAS COLLEGE,58 MT HENRY ROAD,SALTER POINT,WA,6152,58 MT HENRY ROAD,SALTER POINT,WA,6152,-32.02617519,115.8617538,08 9450 0600,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,14,14,28,17,35,52,55,69,,142,166,164,187,201,182,,"1,326"
1100,ARANMORE CATHOLIC COLLEGE,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,-31.92706854,115.8431695,08 9201 5200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,92,108,138,116,146,104,,704
1241,ARANMORE CATHOLIC PRIMARY SCHOOL,20 BRENTHAM STREET,LEEDERVILLE,WA,6007,20 BRENTHAM STREET,LEEDERVILLE,WA,6007,-31.92790363,115.8392341,08 6318 7800,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,20,24,32,29,38,36,39,43,,,,,,,,,261
5792,ARBOR GROVE PRIMARY SCHOOL,BROOKMOUNT DRIVE,ELLENBROOK,WA,6069,BROOKMOUNT DRIVE,ELLENBROOK,WA,6069,-31.77105084,115.962637,08 6497 4800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,60,71,71,79,88,80,85,91,,,,,,,,,625
5012,ARDROSS PRIMARY SCHOOL,46 LINKS ROAD,ARDROSS,WA,6153,46 LINKS ROAD,ARDROSS,WA,6153,-32.0274405,115.8346577,08 9263 1350,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,35,55,48,49,47,49,71,52,,,,,,,,,406
6050,ARMADALE EDUCATION SUPPORT CENTRE,169 SOUTH WESTERN HIGHWAY,ARMADALE,WA,6112,PO BOX 189,ARMADALE,WA,6992,-32.16152603,116.0143523,08 9497 6435,SOUTH METROPOLITAN,Education Support Centres,EDUCATION SUPPORT,Y07,Y12,,,,,,,,,,12,9,16,10,10,15,,72
5014,ARMADALE PRIMARY SCHOOL,1 CARRADINE ROAD,ARMADALE,WA,6112,1 CARRADINE ROAD,ARMADALE,WA,6112,-32.14823967,116.0264848,08 9391 4500,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,51,63,63,59,61,59,52,,,,,,,,,448
4003,ARMADALE SENIOR HIGH SCHOOL,169 SOUTH WESTERN HIGHWAY,ARMADALE,WA,6112,PO BOX 189,ARMADALE,WA,6992,-32.16152603,116.0143523,08 9497 6400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,118,124,127,144,113,80,,706
5676,ASHBURTON DRIVE PRIMARY SCHOOL,6 NULLAGINE WAY,GOSNELLS,WA,6110,6 NULLAGINE WAY,GOSNELLS,WA,6110,-32.0862307,115.9841976,08 9234 6300,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,41,53,58,47,59,54,60,69,,,,,,,,,441
5786,ASHDALE PRIMARY SCHOOL,51 ASHDALE BOULEVARD,DARCH,WA,6065,51 ASHDALE BOULEVARD,DARCH,WA,6065,-31.80875751,115.8437538,08 6207 4500,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,66,78,78,83,100,90,113,121,,,,,,,,,729
4181,ASHDALE SECONDARY COLLEGE,75 WESTPORT PARADE,DARCH,WA,6065,75 WESTPORT PARADE,DARCH,WA,6065,-31.81162275,115.8414952,08 6207 1300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,297,327,298,340,325,252,,"1,839"
5015,ASHFIELD PRIMARY SCHOOL,65 MARGARET STREET,ASHFIELD,WA,6054,65 MARGARET STREET,ASHFIELD,WA,6054,-31.91530992,115.9409018,08 6216 1300,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,23,16,13,13,16,15,6,15,,,,,,,,,117
5854,ASPIRI PRIMARY SCHOOL,30 SUNRAY AVENUE,PIARA WATERS,WA,6112,30 SUNRAY AVENUE,PIARA WATERS,WA,6112,-32.138988,115.912209,08 9397 8300,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,117,118,114,136,134,104,99,61,,,,,,,,,883
1287,ASSUMPTION CATHOLIC PRIMARY SCHOOL,22-34 GORDON ROAD,MANDURAH,WA,6210,22-34 GORDON ROAD,MANDURAH,WA,6210,-32.50994328,115.7464321,08 9583 8500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,42,42,48,53,51,54,49,63,,,,,,,,,402
1519,ATLANTIS BEACH BAPTIST COLLEGE,800 BREAKWATER DRIVE,TWO ROCKS,WA,6037,800 BREAKWATER DRIVE,TWO ROCKS,WA,6037,-31.473535,115.644623,08 9544 3000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,18,22,22,22,21,27,33,34,,39,31,31,17,,,,317
5016,ATTADALE PRIMARY SCHOOL,WICHMANN ROAD,ATTADALE,WA,6156,WICHMANN ROAD,ATTADALE,WA,6156,-32.02544682,115.8018145,08 6274 1700,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,60,47,49,55,63,63,46,39,,,,,,,,,422
4184,ATWELL COLLEGE,201 BRENCHLEY DRIVE,ATWELL,WA,6164,201 BRENCHLEY DRIVE,ATWELL,WA,6164,-32.14395682,115.8641462,08 6174 2200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,144,148,203,176,236,168,,"1,075"
5765,ATWELL PRIMARY SCHOOL,160 LYDON BOULEVARD,ATWELL,WA,6164,160 LYDON BOULEVARD,ATWELL,WA,6164,-32.13527555,115.867828,08 6174 2400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,42,61,73,81,80,68,72,83,,,,,,,,,560
5820,AUBIN GROVE PRIMARY SCHOOL,85 CAMDEN BOULEVARD,AUBIN GROVE,WA,6164,85 CAMDEN BOULEVARD,AUBIN GROVE,WA,6164,-32.17306065,115.8623522,08 6174 6500,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,99,119,116,113,149,125,140,143,,,,,,,,,"1,004"
5017,AUGUSTA PRIMARY SCHOOL,32 ALLNUTT TERRACE,AUGUSTA,WA,6290,PO BOX 106,AUGUSTA,WA,6290,-34.31671839,115.1595029,08 9781 5100,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,15,15,15,9,19,18,7,8,,,,,,,,,106
1487,AUSTIN COVE BAPTIST COLLEGE,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,-32.59324476,115.8065154,08 9520 8200,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,39,43,47,44,30,47,48,43,,82,77,79,62,34,34,,709
1491,AUSTRALIAN CHRISTIAN COLLEGE - DARLING DOWNS,10 NINTH ROAD,HILBERT,WA,6112,10 NINTH ROAD,HILBERT,WA,6112,-32.17468068,116.0042944,08 9391 1500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y08,10,14,11,12,16,15,9,10,,11,7,,,,,,115
1438,AUSTRALIAN CHRISTIAN COLLEGE - SOUTHLANDS,26 BREWSTER ROAD,ALBANY,WA,6330,26 BREWSTER ROAD,ALBANY,WA,6330,-34.99550802,117.9227056,08 9892 5100,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,5,14,23,27,31,37,46,48,,70,85,123,165,149,77,,900
1391,AUSTRALIAN ISLAMIC COLLEGE DIANELLA,81 CLEVELAND STREET,DIANELLA,WA,6059,81 CLEVELAND STREET,DIANELLA,WA,6059,-31.90293601,115.8744467,08 9375 9770,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,80,82,87,87,99,99,89,87,,79,66,60,42,,,,957
1441,AUSTRALIAN ISLAMIC COLLEGE KEWDALE,139 PRESIDENT STREET,KEWDALE,WA,6105,139 PRESIDENT STREET,KEWDALE,WA,6105,-31.97999061,115.9325273,08 9362 5340,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,66,83,88,108,91,117,117,149,,220,193,187,214,193,193,,"2,019"
1331,AUSTRALIAN ISLAMIC COLLEGE THORNLIE,17 TONBRIDGE WAY,THORNLIE,WA,6108,17 TONBRIDGE WAY,THORNLIE,WA,6108,-32.05402507,115.9611396,08 9493 2718,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,80,90,114,102,90,102,70,61,,,,,,,,,709
5629,AUSTRALIND PRIMARY SCHOOL,BARNES AVENUE,AUSTRALIND,WA,6233,PO BOX A630,AUSTRALIND,WA,6233,-33.28059897,115.7271368,08 9796 3900,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,18,17,23,21,29,19,16,29,,,,,,,,,172
4146,AUSTRALIND SENIOR HIGH SCHOOL,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,-33.27665965,115.7284365,08 9797 4400,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,201,196,204,239,206,141,,"1,187"
5853,AVELEY NORTH PRIMARY SCHOOL,77 STRINESDALE BOULEVARD,AVELEY,WA,6069,77 STRINESDALE BOULEVARD,AVELEY,WA,6069,-31.778441,115.991854,08 9297 7800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,91,95,102,100,103,90,76,48,,,,,,,,,705
5821,AVELEY PRIMARY SCHOOL,8 BOLERO ROAD,AVELEY,WA,6069,8 BOLERO ROAD,AVELEY,WA,6069,-31.79108088,115.9905586,08 9297 7350,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,80,93,83,91,71,76,76,102,,,,,,,,,672
4209,AVELEY SECONDARY COLLEGE,MAFFINA PARADE,ELLENBROOK,WA,6069,MAFFINA PARADE,ELLENBROOK,WA,6069,-31.767004,115.987559,08 6296 1000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,296,300,268,278,228,155,,"1,525"
6041,AVONVALE EDUCATION SUPPORT CENTRE,HUTT STREET,NORTHAM,WA,6401,PO BOX 1061,NORTHAM,WA,6401,-31.64551218,116.6613138,08 9621 5250,WHEATBELT,Education Support Centres,EDUCATION SUPPORT,PPR,Y12,,3,4,2,5,2,3,3,,3,1,2,1,1,2,,32
5018,AVONVALE PRIMARY SCHOOL,HUTT STREET,NORTHAM,WA,6401,PO BOX 666,NORTHAM,WA,6401,-31.64551218,116.6613138,08 9621 5200,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,8,18,17,15,11,14,16,12,,,,,,,,,111
5020,BABAKIN PRIMARY SCHOOL,FARRAR STREET,BABAKIN,WA,6428,PO BOX 288,CORRIGIN,WA,6375,-32.12359155,118.0209226,08 9065 2400,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,2,,1,1,,2,1,1,,,,,,,,,8
5021,BADGINGARRA PRIMARY SCHOOL,MCNAMARA ROAD,BADGINGARRA,WA,6521,C/- POST OFFICE,BADGINGARRA,WA,6521,-30.4024941,115.550545,08 9652 8900,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,7,5,2,1,2,,2,2,,,,,,,,,21
5022,BAKERS HILL PRIMARY SCHOOL,33 SAINT GEORGE STREET,BAKERS HILL,WA,6562,33 SAINT GEORGE STREET,BAKERS HILL,WA,6562,-31.75120467,116.4615984,08 9574 3100,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,16,16,24,17,27,18,23,20,,,,,,,,,161
5023,BALCATTA PRIMARY SCHOOL,387 MAIN STREET,BALCATTA,WA,6021,387 MAIN STREET,BALCATTA,WA,6021,-31.88093054,115.8272729,08 9253 4900,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,39,33,36,33,35,32,25,27,,,,,,,,,260
4004,BALCATTA SENIOR HIGH SCHOOL,31 POINCAIRE STREET,BALCATTA,WA,6021,31 POINCAIRE STREET,BALCATTA,WA,6021,-31.87551716,115.8122429,08 9345 8200,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,199,177,173,142,107,103,,901
5847,BALDIVIS GARDENS PRIMARY SCHOOL,NADINE PROMENADE,BALDIVIS,WA,6171,NADINE PROMENADE,BALDIVIS,WA,6171,-32.300823,115.810062,08 9523 7000,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,66,68,56,65,62,59,53,62,,,,,,,,,491
5024,BALDIVIS PRIMARY SCHOOL,214 FIFTY ROAD,BALDIVIS,WA,6171,214 FIFTY ROAD,BALDIVIS,WA,6171,-32.30718679,115.8174722,08 9523 5700,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,60,64,66,75,53,80,65,78,,,,,,,,,541
4190,BALDIVIS SECONDARY COLLEGE,STILLWATER DRIVE,BALDIVIS,WA,6171,PO BOX 4119,BALDIVIS,WA,6171,-32.334099,115.828418,08 9523 3600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,199,222,237,230,202,218,,"1,308"
5580,BALER PRIMARY SCHOOL,BALER CLOSE,SOUTH HEDLAND,WA,6722,PO BOX 2621,SOUTH HEDLAND,WA,6722,-20.40461541,118.6124558,08 9172 8400,PILBARA,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,57,75,82,58,67,72,65,67,,,,,,,,,543
5025,BALGA PRIMARY SCHOOL,11 FERNHURST CRESCENT,BALGA,WA,6061,11 FERNHURST CRESCENT,BALGA,WA,6061,-31.86059553,115.8448001,08 9253 4500,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,31,30,37,28,21,31,14,18,,,,,,,,,210
4050,BALGA SENIOR HIGH SCHOOL,2 MARKHAM WAY,BALGA,WA,6061,2 MARKHAM WAY,BALGA,WA,6061,-31.85134146,115.8465042,08 9247 0222,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,90,73,75,124,83,102,,547
5027,BALINGUP PRIMARY SCHOOL,CNR BROCKMAN AND STEERE STS,BALINGUP,WA,6253,PO BOX 372,BALINGUP,WA,6253,-33.78633822,115.9822069,08 9782 5900,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,5,7,4,9,5,11,14,5,,,,,,,,,60
4158,BALLAJURA COMMUNITY COLLEGE,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.84474671,115.8934345,08 9262 7777,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,157,184,166,201,182,165,,"1,055"
5702,BALLAJURA PRIMARY SCHOOL,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.83593382,115.892303,08 9338 2200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,79,85,79,102,88,94,101,100,,,,,,,,,728
5609,BAMBARA PRIMARY SCHOOL,30 GOSSE ROAD,PADBURY,WA,6025,30 GOSSE ROAD,PADBURY,WA,6025,-31.79830122,115.7614207,08 6206 2150,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,41,38,36,32,30,21,23,14,,,,,,,,,235
5762,BANKSIA GROVE PRIMARY SCHOOL,14 VIRIDIAN DRIVE,BANKSIA GROVE,WA,6031,14 VIRIDIAN DRIVE,BANKSIA GROVE,WA,6031,-31.70254405,115.8089621,08 9233 6333    ,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,38,42,46,59,58,56,72,77,,,,,,,,,448
1577,BANKSIA MONTESSORI SCHOOL,17 CHATTON STREET,DIANELLA,WA,6059,17 CHATTON STREET,DIANELLA,WA,6059,-31.89277585,115.8692823,08 9275 5997,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,PPR,12,12,,,,,,,,,,,,,,,24
5701,BANKSIA PARK PRIMARY SCHOOL,HICKS STREET,LEEMING,WA,6149,HICKS STREET,LEEMING,WA,6149,-32.07166263,115.8754583,08 9266 6400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,27,40,33,35,29,31,30,39,,,,,,,,,264
5817,BANNISTER CREEK PRIMARY SCHOOL,92 PURLEY CRESCENT,LYNWOOD,WA,6147,92 PURLEY CRESCENT,LYNWOOD,WA,6147,-32.0397245,115.9285022,08 9366 0900,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,78,56,76,78,74,68,61,69,,,,,,,,,560
5030,BASSENDEAN PRIMARY SCHOOL,70 WEST ROAD,BASSENDEAN,WA,6054,70 WEST ROAD,BASSENDEAN,WA,6054,-31.90747284,115.9534451,08 6216 1400,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,50,64,48,44,36,26,15,,,,,,,,,323
5519,BATEMAN PRIMARY SCHOOL,2 BARTLING CRESCENT,BATEMAN,WA,6150,2 BARTLING CRESCENT,BATEMAN,WA,6150,-32.05066001,115.8453415,08 6258 6900,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,42,39,41,48,49,54,50,53,,,,,,,,,376
5830,BAYNTON WEST PRIMARY SCHOOL,MARNIYARRA LOOP,BAYNTON,WA,6714,MARNIYARRA LOOP,BAYNTON,WA,6714,-20.75252283,116.79939,08 9187 6200,PILBARA,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,80,107,115,92,112,99,122,79,,,,,,,,,806
5031,BAYSWATER PRIMARY SCHOOL,MURRAY STREET,BAYSWATER,WA,6053,MURRAY STREET,BAYSWATER,WA,6053,-31.92081606,115.9117733,08 9462 6600,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,60,54,64,62,52,57,51,47,,,,,,,,,447
5190,BAYULU REMOTE COMMUNITY SCHOOL,GOGO STATION ROAD,VIA FITZROY CROSSING,WA,6765,PO BOX 76,FITZROY CROSSING,WA,6765,-18.28637,125.58345,08 9163 8650,KIMBERLEY,Remote Community Schools,PRIMARY SCHOOLS,KIN,Y07,9,9,6,9,8,12,8,6,,8,,,,,,,75
5032,BEACHLANDS PRIMARY SCHOOL,50 WHITFIELD STREET,GERALDTON,WA,6530,PO BOX 7170,GERALDTON PO,WA,6531,-28.78770753,114.6043717,08 9923 6900,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,15,16,16,15,16,11,16,12,,,,,,,,,117
5033,BEACON PRIMARY SCHOOL,BROADBENT STREET,BEACON,WA,6472,C/- POST OFFICE,BEACON,WA,6472,-30.45065535,117.8688978,08 9686 0700,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y05,1,6,3,4,3,2,3,,,,,,,,,,22
